Nest_id,owl_nest,latitude,longitude
1,1,44.23631,-84.59108
2,1,44.21493,-84.55471
3,1,44.19864,-84.56284
4,1,44.1959,-84.54235
5,1,44.19499,-84.54778
6,1,44.24465,-84.52617
7,1,44.16841,-84.55986
8,1,44.19991,-84.53112
9,1,44.19614,-84.53198
10,1,44.2331,-84.57686
11,1,44.2133,-84.59641
12,1,44.17889,-84.59761
13,1,44.1772,-84.58984
14,1,44.17718,-84.58037
15,1,44.23131,-84.52034
16,1,44.22768,-84.52134
17,1,44.22244,-84.51196
18,1,44.21072,-84.58687
19,1,44.20836,-84.58047
20,1,44.20594,-84.57191
21,1,44.19952,-84.56853
22,1,44.24174,-84.57319
23,1,44.17531,-84.53608
24,1,44.18399,-84.59356
25,1,44.23839,-84.57291
26,1,44.23476,-84.57448
27,1,44.20987,-84.52347
28,1,44.19404,-84.54555
29,1,44.21896,-84.53064
30,1,44.23009,-84.52737
31,1,44.23798,-84.59364
32,1,44.2254,-84.57987
33,1,44.19061,-84.60284
34,1,44.19338,-84.59815
35,1,44.18885,-84.59057
36,1,44.24141,-84.54879
37,1,44.22943,-84.54054
38,1,44.18104,-84.59
39,1,44.1827,-84.57392
40,1,44.16449,-84.55658
41,1,44.16416,-84.56025
42,1,44.20825,-84.5517
43,1,44.20596,-84.55694
44,1,44.22106,-84.51757
45,1,44.21399,-84.52437
46,1,44.16873,-84.57587
47,1,44.19465,-84.60438
